Virtual address: 100101010111110, Physical address: 1100110111110, Value: 71752576615610594540963405721583409454102055450743009067117804859555279403954118607899214429331106275865089317546616532568318442805554003338540747263781834033763662037579520318811907623176213201659451192299663144398745652102437503529936229871551685021245395494108029156941584486066648809929402547781279858244691370939797721339283532544002185725496087225568588870203922306393503150132570996560855727732615606812300636959938266069148512584982870501986992477674466655246367137103580808526679702330695306396240646021715596465225115518188207778426900545096692514909044055949319451315797677402264012524990985085658495
Virtual address: 1111111010111010, Physical address: 1101010111010, Value: 0
Virtual address: 1111111010011010, Physical address: 1101010011010, Value: 0
Virtual address: 1001101100110011, Physical address: 1101100110011, Value: 0
Virtual address: 110000001, Physical address: 1110010000001, Value: 1444682750651594377522159359559125141504118579649446340413515095041396739433951986692230363281284724265269597183829673639965843859352442864841332074411280868893772587103388699906565579205908816395823108477262965219186499953727369620472978999760975174381497816529267915002602706099516623506323017110719648002911746121243429745107282965445304686443586390614232527269530746424916999427585668978747493839097454030367280434738556684772631518557525502765490722781165217758642938277544337002891775899826806267026902643570458457819217803316220778701477221531453943442944369737832845384411682044021622760627041042694399
Virtual address: 1001001011001101, Physical address: 1110111001101, Value: 0
Virtual address: 10011100010001, Physical address: 1111000010001, Value: 37561751516897656105317320161968860233592099849046824453446540659004007697235407442791708479402768398032300275452384566925078480304318997902700620699087934891943373332210990558933282382615311754031248494002468536715535379482174356217799991433900038451880075390627946635176737182110029732970233734920938934086017717774610360358553986516073839466778775175693525169187882575175903035748639775613392134537822532514237155362067174519212296449940408207845029295500326915098227286989549373744563655915683912497787387255631317023267452930818953826505633038431405264401557222243733499116288049522570795584786601338737599
Virtual address: 1010101001111010, Physical address: 1111101111010, Value: 0
Virtual address: 1100111110000100, Physical address: 10000010000100, Value: 0
Virtual address: 1001001111111101, Physical address: 10000111111101, Value: 0
Virtual address: 1011001101011010, Physical address: 10001001011010, Value: 0
Virtual address: 1110101101100101, Physical address: 10001101100101, Value: 0
Virtual address: 1011100000000101, Physical address: 10010000000101, Value: 0
Virtual address: 1110000000101001, Physical address: 10010100101001, Value: 0
Virtual address: 10111011011110, Physical address: 10011011011110, Value: 44785165270146868450876352322450807252009696102926300076053145771796529888795698534011604102627065132785706411106095545582101007593312308910272478424023265696553293481232510930738625743297192341558333571107509651014805155387863753537265393920727851107379790905447682379211564077312132354863015878482982791302638912105283746481243327226199546422845812932709383697571552940926100243012850596940321062677567548211011130347532898086100229436216984748860937010044159254566144156731950381092898031918855333743939484178043488736357099956319500436066464201811395528593279792744913629862663323018280630149618513397946239
Virtual address: 1111101011100101, Physical address: 10011111100101, Value: 0
Virtual address: 11011010001011, Physical address: 10100010001011, Value: 52490139940279361619472653293631550738321798773731074073500191225441886893126675697979492767399648316522672955803387256149591703368238507318349126663954285221470541640188799327330991994691198301587224320019553506267359583020599110678028489906677517939912820787922067172848712765527708484881983498282496239000368186058002025012111957317000300509317319873526299461180801331059643930761342139689045252693295564954236703665363003224114024621578666392611238572224247083331922151123844788931121366322238183073168387561949805230319390116853416819598017442750051810397783867946172435992130281413704453685439219594435455
Virtual address: 111100011111011, Physical address: 10100111111011, Value: 116056180968872430260392136305872684500396645807870459552438316218016082178857237300714574251773459582352646949556043868331389943511379644184981474643385196302037838951578178599218013568691747471825572998543915312100933610990665807089324031790762269308310317318335741720355189443306211557538466361628482182506634696167927822891778155566106521722707252135265854510957100549661379354686397367366019820323051703085847683537461370612727834900812539953551226460209971670649590604856973653596463875150146690039306840479176916305508283941258226983733331680493966135284942488356557586560232688175950997855960045715471487
Virtual address: 101110100100, Physical address: 10101010100100, Value: 11075901088317210838267535573535054499394246918155413837222321912098092994847673441652091194247013703936477778055444311849329213578010190874937142374325055275040332785798749195647023393448416266431936544617317784284879534494646566046426848982198058715047785169622248907049038566368986786030032541860111457625073338562141277908693070578946247294532970066635377231781091234091846609113200097414652731358757474959399247082026188107289875500259627557453367675506275003715865431267412346800670943904055367928563031873453354075272080503983616258115918772704774295698574463739406353046245380038301402180402923788305919
Virtual address: 111100011000111, Physical address: 10100111000111, Value: 116056180968872430260392136305872684500396645807870459552438316218016082178857237300714574251773459582352646949556043868331389943511379644184981474643385196302037838951578178599218013568691747471825572998543915312100933610990665807089324031790762269308310317318335741720355189443306211557538466361628482182506634696167927822891778155566106521722707252135265854510957100549661379354686397367366019820323051703085847683537461370612727834900812539953551226460209971670649590604856973653596463875150146690039306840479176916305508283941258226983733331680493966135284942488356557586560232688175950997855960045715471487
Virtual address: 1101001111011, Physical address: 10101101111011, Value: 25041167677932354706348331083800152068334933008989066707595091796830302565197569551343889399147320724459729640319285537252906099670063925489576067309200028163952845073907021914470687224100052068984301027020397271930134434578979400864059960456731829849013901831607071345516370563759718521689411352746729581577207647601443157745892462618522614076262576396866037053322853941208894543157341018646715325762264505306495598720593253669939879273727675536750789256957684193353838046102720961007450737510186782337790419256783552720578731419951339703266859021906088806469238100041687939155904242130007082339077953769442623
Virtual address: 1010000110011111, Physical address: 10110010011111, Value: 0
Virtual address: 100110000111011, Physical address: 10110100111011, Value: 73197259366260437010075212153679798857785574701518904191639125882113783842266176826143193553975965622815770544677358728299722948263352665540055118808768900194685646067383824393172976295312589319164868207720671367258599607283575382993829310368917247552345338597071976305748549865107069334307958976493688629688015609805932398563821400686027327116709494776971760575880656379543542591585413160826241513360564609951655431957031410782526099182238185810190174020583233123139950511052061009996346577531329590645471065406198030807843044923288317100339066777772690567747388570049555477465072732101405979437957367497500223
Virtual address: 1111010011101110, Physical address: 10111011101110, Value: 0
Virtual address: 1011100000101100, Physical address: 10010000101100, Value: 0
Virtual address: 110010110100, Physical address: 10111110110100, Value: 12039022922083772484342073194932647435183259752006010586903202593803762620389045587148077277343586601903598596142605775670265550549875965675946723404316432715654988805668285245221069174872667011435547888231323266191448837948738485689022235980441767069114413904931547006253682152395933802282403494335050638587289497806231062725051649340296341555341908434237491702232247282858539570081761540258243255110723477052302443746754951249541599898429837762922155370778785982311587680566399147780448860704478224094716644796441643637017366774050355806057362927822106330924137473139563703812428749837729380122380512062867071
